Index,Month_Index
1,01/1947
2,02/1947
3,03/1947
4,04/1947
5,05/1947
6,06/1947
7,07/1947
8,08/1947
9,09/1947
10,10/1947
11,11/1947
12,12/1947
13,01/1948
14,02/1948
15,03/1948
16,04/1948
17,05/1948
18,06/1948
19,07/1948
20,08/1948
21,09/1948
22,10/1948
23,11/1948
24,12/1948
25,01/1949
26,02/1949
27,03/1949
28,04/1949
29,05/1949
30,06/1949
31,07/1949
32,08/1949
33,09/1949
34,10/1949
35,11/1949
36,12/1949
37,01/1950
38,02/1950
39,03/1950
40,04/1950
41,05/1950
42,06/1950
43,07/1950
44,08/1950
45,09/1950
46,10/1950
47,11/1950
48,12/1950
49,01/1951
50,02/1951
51,03/1951
52,04/1951
53,05/1951
54,06/1951
55,07/1951
56,08/1951
57,09/1951
58,10/1951
59,11/1951
60,12/1951
61,01/1952
62,02/1952
63,03/1952
64,04/1952
65,05/1952
66,06/1952
67,07/1952
68,08/1952
69,09/1952
70,10/1952
71,11/1952
72,12/1952
73,01/1953
74,02/1953
75,03/1953
76,04/1953
77,05/1953
78,06/1953
79,07/1953
80,08/1953
81,09/1953
82,10/1953
83,11/1953
84,12/1953
85,01/1954
86,02/1954
87,03/1954
88,04/1954
89,05/1954
90,06/1954
91,07/1954
92,08/1954
93,09/1954
94,10/1954
95,11/1954
96,12/1954
97,01/1955
98,02/1955
99,03/1955
100,04/1955
101,05/1955
102,06/1955
103,07/1955
104,08/1955
105,09/1955
106,10/1955
107,11/1955
108,12/1955
109,01/1956
110,02/1956
111,03/1956
112,04/1956
113,05/1956
114,06/1956
115,07/1956
116,08/1956
117,09/1956
118,10/1956
119,11/1956
120,12/1956
121,01/1957
122,02/1957
123,03/1957
124,04/1957
125,05/1957
126,06/1957
127,07/1957
128,08/1957
129,09/1957
130,10/1957
131,11/1957
132,12/1957
133,01/1958
134,02/1958
135,03/1958
136,04/1958
137,05/1958
138,06/1958
139,07/1958
140,08/1958
141,09/1958
142,10/1958
143,11/1958
144,12/1958
145,01/1959
146,02/1959
147,03/1959
148,04/1959
149,05/1959
150,06/1959
151,07/1959
152,08/1959
153,09/1959
154,10/1959
155,11/1959
156,12/1959
157,01/1960
158,02/1960
159,03/1960
160,04/1960
161,05/1960
162,06/1960
163,07/1960
164,08/1960
165,09/1960
166,10/1960
167,11/1960
168,12/1960
169,01/1961
170,02/1961
171,03/1961
172,04/1961
173,05/1961
174,06/1961
175,07/1961
176,08/1961
177,09/1961
178,10/1961
179,11/1961
180,12/1961
181,01/1962
182,02/1962
183,03/1962
184,04/1962
185,05/1962
186,06/1962
187,07/1962
188,08/1962
189,09/1962
190,10/1962
191,11/1962
192,12/1962
193,01/1963
194,02/1963
195,03/1963
196,04/1963
197,05/1963
198,06/1963
199,07/1963
200,08/1963
201,09/1963
202,10/1963
203,11/1963
204,12/1963
205,01/1964
206,02/1964
207,03/1964
208,04/1964
209,05/1964
210,06/1964
211,07/1964
212,08/1964
213,09/1964
214,10/1964
215,11/1964
216,12/1964
217,01/1965
218,02/1965
219,03/1965
220,04/1965
221,05/1965
222,06/1965
223,07/1965
224,08/1965
225,09/1965
226,10/1965
227,11/1965
228,12/1965
229,01/1966
230,02/1966
231,03/1966
232,04/1966
233,05/1966
234,06/1966
235,07/1966
236,08/1966
237,09/1966
238,10/1966
239,11/1966
240,12/1966
241,01/1967
242,02/1967
243,03/1967
244,04/1967
245,05/1967
246,06/1967
247,07/1967
248,08/1967
249,09/1967
250,10/1967
251,11/1967
252,12/1967
253,01/1968
254,02/1968
255,03/1968
256,04/1968
257,05/1968
258,06/1968
259,07/1968
260,08/1968
261,09/1968
262,10/1968
263,11/1968
264,12/1968
265,01/1969
266,02/1969
267,03/1969
268,04/1969
269,05/1969
270,06/1969
271,07/1969
272,08/1969
273,09/1969
274,10/1969
275,11/1969
276,12/1969
277,01/1970
278,02/1970
279,03/1970
280,04/1970
281,05/1970
282,06/1970
283,07/1970
284,08/1970
285,09/1970
286,10/1970
287,11/1970
288,12/1970
289,01/1971
290,02/1971
291,03/1971
292,04/1971
293,05/1971
294,06/1971
295,07/1971
296,08/1971
297,09/1971
298,10/1971
299,11/1971
300,12/1971
301,01/1972
302,02/1972
303,03/1972
304,04/1972
305,05/1972
306,06/1972
307,07/1972
308,08/1972
309,09/1972
310,10/1972
311,11/1972
312,12/1972
313,01/1973
314,02/1973
315,03/1973
316,04/1973
317,05/1973
318,06/1973
319,07/1973
320,08/1973
321,09/1973
322,10/1973
323,11/1973
324,12/1973
325,01/1974
326,02/1974
327,03/1974
328,04/1974
329,05/1974
330,06/1974
331,07/1974
332,08/1974
333,09/1974
334,10/1974
335,11/1974
336,12/1974
337,01/1975
338,02/1975
339,03/1975
340,04/1975
341,05/1975
342,06/1975
343,07/1975
344,08/1975
345,09/1975
346,10/1975
347,11/1975
348,12/1975
349,01/1976
350,02/1976
351,03/1976
352,04/1976
353,05/1976
354,06/1976
355,07/1976
356,08/1976
357,09/1976
358,10/1976
359,11/1976
360,12/1976
361,01/1977
362,02/1977
363,03/1977
364,04/1977
365,05/1977
366,06/1977
367,07/1977
368,08/1977
369,09/1977
370,10/1977
371,11/1977
372,12/1977
373,01/1978
374,02/1978
375,03/1978
376,04/1978
377,05/1978
378,06/1978
379,07/1978
380,08/1978
381,09/1978
382,10/1978
383,11/1978
384,12/1978
385,01/1979
386,02/1979
387,03/1979
388,04/1979
389,05/1979
390,06/1979
391,07/1979
392,08/1979
393,09/1979
394,10/1979
395,11/1979
396,12/1979
397,01/1980
398,02/1980
399,03/1980
400,04/1980
401,05/1980
402,06/1980
403,07/1980
404,08/1980
405,09/1980
406,10/1980
407,11/1980
408,12/1980
409,01/1981
410,02/1981
411,03/1981
412,04/1981
413,05/1981
414,06/1981
415,07/1981
416,08/1981
417,09/1981
418,10/1981
419,11/1981
420,12/1981
421,01/1982
422,02/1982
423,03/1982
424,04/1982
425,05/1982
426,06/1982
427,07/1982
428,08/1982
429,09/1982
430,10/1982
431,11/1982
432,12/1982
433,01/1983
434,02/1983
435,03/1983
436,04/1983
437,05/1983
438,06/1983
439,07/1983
440,08/1983
441,09/1983
442,10/1983
443,11/1983
444,12/1983
445,01/1984
446,02/1984
447,03/1984
448,04/1984
449,05/1984
450,06/1984
451,07/1984
452,08/1984
453,09/1984
454,10/1984
455,11/1984
456,12/1984
457,01/1985
458,02/1985
459,03/1985
460,04/1985
461,05/1985
462,06/1985
463,07/1985
464,08/1985
465,09/1985
466,10/1985
467,11/1985
468,12/1985
469,01/1986
470,02/1986
471,03/1986
472,04/1986
473,05/1986
474,06/1986
475,07/1986
476,08/1986
477,09/1986
478,10/1986
479,11/1986
480,12/1986
481,01/1987
482,02/1987
483,03/1987
484,04/1987
485,05/1987
486,06/1987
487,07/1987
488,08/1987
489,09/1987
490,10/1987
491,11/1987
492,12/1987
493,01/1988
494,02/1988
495,03/1988
496,04/1988
497,05/1988
498,06/1988
499,07/1988
500,08/1988
501,09/1988
502,10/1988
503,11/1988
504,12/1988
505,01/1989
506,02/1989
507,03/1989
508,04/1989
509,05/1989
510,06/1989
511,07/1989
512,08/1989
513,09/1989
514,10/1989
515,11/1989
516,12/1989
517,01/1990
518,02/1990
519,03/1990
520,04/1990
521,05/1990
522,06/1990
523,07/1990
524,08/1990
525,09/1990
526,10/1990
527,11/1990
528,12/1990
529,01/1991
530,02/1991
531,03/1991
532,04/1991
533,05/1991
534,06/1991
535,07/1991
536,08/1991
537,09/1991
538,10/1991
539,11/1991
540,12/1991
541,01/1992
542,02/1992
543,03/1992
544,04/1992
545,05/1992
546,06/1992
547,07/1992
548,08/1992
549,09/1992
550,10/1992
551,11/1992
552,12/1992
553,01/1993
554,02/1993
555,03/1993
556,04/1993
557,05/1993
558,06/1993
559,07/1993
560,08/1993
561,09/1993
562,10/1993
563,11/1993
564,12/1993
565,01/1994
566,02/1994
567,03/1994
568,04/1994
569,05/1994
570,06/1994
571,07/1994
572,08/1994
573,09/1994
574,10/1994
575,11/1994
576,12/1994
577,01/1995
578,02/1995
579,03/1995
580,04/1995
581,05/1995
582,06/1995
583,07/1995
584,08/1995
585,09/1995
586,10/1995
587,11/1995
588,12/1995
589,01/1996
590,02/1996
591,03/1996
592,04/1996
593,05/1996
594,06/1996
595,07/1996
596,08/1996
597,09/1996
598,10/1996
599,11/1996
600,12/1996
601,01/1997
602,02/1997
603,03/1997
604,04/1997
605,05/1997
606,06/1997
607,07/1997
608,08/1997
609,09/1997
610,10/1997
611,11/1997
612,12/1997
613,01/1998
614,02/1998
615,03/1998
616,04/1998
617,05/1998
618,06/1998
619,07/1998
620,08/1998
621,09/1998
622,10/1998
623,11/1998
624,12/1998
625,01/1999
626,02/1999
627,03/1999
628,04/1999
629,05/1999
630,06/1999
631,07/1999
632,08/1999
633,09/1999
634,10/1999
635,11/1999
636,12/1999
637,01/2000
638,02/2000
639,03/2000
640,04/2000
641,05/2000
642,06/2000
643,07/2000
644,08/2000
645,09/2000
646,10/2000
647,11/2000
648,12/2000
649,01/2001
650,02/2001
651,03/2001
652,04/2001
653,05/2001
654,06/2001
655,07/2001
656,08/2001
657,09/2001
658,10/2001
659,11/2001
660,12/2001
661,01/2002
662,02/2002
663,03/2002
664,04/2002
665,05/2002
666,06/2002
667,07/2002
668,08/2002
669,09/2002
670,10/2002
671,11/2002
672,12/2002
673,01/2003
674,02/2003
675,03/2003
676,04/2003
677,05/2003
678,06/2003
679,07/2003
680,08/2003
681,09/2003
682,10/2003
683,11/2003
684,12/2003
685,01/2004
686,02/2004
687,03/2004
688,04/2004
689,05/2004
690,06/2004
691,07/2004
692,08/2004
693,09/2004
694,10/2004
695,11/2004
696,12/2004
697,01/2005
698,02/2005
699,03/2005
700,04/2005
701,05/2005
702,06/2005
703,07/2005
704,08/2005
705,09/2005
706,10/2005
707,11/2005
708,12/2005
709,01/2006
710,02/2006
711,03/2006
712,04/2006
713,05/2006
714,06/2006
715,07/2006
716,08/2006
717,09/2006
718,10/2006
719,11/2006
720,12/2006
721,01/2007
722,02/2007
723,03/2007
724,04/2007
725,05/2007
726,06/2007
727,07/2007
728,08/2007
729,09/2007
730,10/2007
731,11/2007
732,12/2007
733,01/2008
734,02/2008
735,03/2008
736,04/2008
737,05/2008
738,06/2008
739,07/2008
740,08/2008
741,09/2008
742,10/2008
743,11/2008
744,12/2008
745,01/2009
746,02/2009
747,03/2009
748,04/2009
749,05/2009
750,06/2009
751,07/2009
752,08/2009
753,09/2009
754,10/2009
755,11/2009
756,12/2009
757,01/2010
758,02/2010
759,03/2010
760,04/2010
761,05/2010
762,06/2010
763,07/2010
764,08/2010
765,09/2010
766,10/2010
767,11/2010
768,12/2010
769,01/2011
770,02/2011
771,03/2011
772,04/2011
773,05/2011
774,06/2011
775,07/2011
776,08/2011
777,09/2011
778,10/2011
779,11/2011
780,12/2011
781,01/2012
782,02/2012
783,03/2012
784,04/2012
785,05/2012
786,06/2012
787,07/2012
788,08/2012
789,09/2012
790,10/2012
791,11/2012
792,12/2012
793,01/2013
794,02/2013
795,03/2013
796,04/2013
797,05/2013
798,06/2013
799,07/2013
800,08/2013
801,09/2013
802,10/2013
803,11/2013
804,12/2013
805,01/2014
806,02/2014
807,03/2014
808,04/2014
809,05/2014
810,06/2014
811,07/2014
812,08/2014
813,09/2014
814,10/2014
815,11/2014
816,12/2014
817,01/2015
818,02/2015
819,03/2015
820,04/2015
821,05/2015
822,06/2015
823,07/2015
824,08/2015
825,09/2015
826,10/2015
827,11/2015
828,12/2015
829,01/2016
830,02/2016
831,03/2016
832,04/2016
833,05/2016
834,06/2016
835,07/2016
836,08/2016
837,09/2016
838,10/2016
839,11/2016
840,12/2016
841,01/2017
842,02/2017
843,03/2017
844,04/2017
845,05/2017
846,06/2017
847,07/2017
848,08/2017
849,09/2017
850,10/2017
851,11/2017
852,12/2017
853,01/2018
854,02/2018
855,03/2018
856,04/2018
857,05/2018
858,06/2018
859,07/2018
860,08/2018
861,09/2018
862,10/2018
863,11/2018
864,12/2018
865,01/2019
866,02/2019
867,03/2019
868,04/2019
869,05/2019
870,06/2019
871,07/2019
872,08/2019
873,09/2019
874,10/2019
875,11/2019
876,12/2019
877,01/2020
878,02/2020
879,03/2020
880,04/2020
881,05/2020
882,06/2020
883,07/2020
884,08/2020
885,09/2020
886,10/2020
887,11/2020
888,12/2020
889,01/2021
890,02/2021
891,03/2021
892,04/2021
893,05/2021
894,06/2021
895,07/2021
896,08/2021
897,09/2021
898,10/2021
899,11/2021
900,12/2021
901,01/2022
902,02/2022
903,03/2022
904,04/2022
905,05/2022
906,06/2022
907,07/2022
908,08/2022
909,09/2022
910,10/2022
911,11/2022
912,12/2022
913,01/2023
914,02/2023
915,03/2023
916,04/2023
917,05/2023
918,06/2023
919,07/2023
920,08/2023
921,09/2023
922,10/2023
923,11/2023
924,12/2023
925,01/2024
926,02/2024
927,03/2024
928,04/2024
929,05/2024
930,06/2024
931,07/2024
932,08/2024
933,09/2024
934,10/2024
935,11/2024
936,12/2024
937,01/2025
938,02/2025
939,03/2025
940,04/2025
941,05/2025
942,06/2025
943,07/2025
944,08/2025
945,09/2025
946,10/2025
947,11/2025
948,12/2025
949,01/2026
950,02/2026
